Model,Accuracy (%),Top-5 Accuracy (%),Macro F1 Score,Configuration,Train Time (min)
ViT-Small,98.0,99.92,0.968,"img=224, ep=10, lr=0.0001, opt=adam, aug=True",7.5
ViT-Small,97.77,99.85,0.966,"img=224, ep=5, lr=0.001, opt=adamw, aug=True",3.8
ViT-Small,97.7,99.77,0.966,"img=224, ep=5, lr=0.001, opt=adamw, aug=False",3.8
ViT-Small,97.7,99.69,0.964,"img=224, ep=10, lr=0.0001, opt=adamw, aug=True",7.5
ViT-Small,97.62,99.85,0.964,"img=224, ep=5, lr=0.001, opt=adam, aug=True",3.8
ViT-Small,97.62,99.46,0.962,"img=224, ep=10, lr=0.0001, opt=adamw, aug=False",7.4
ViT-Small,97.39,99.62,0.958,"img=224, ep=10, lr=0.0001, opt=adam, aug=False",7.3
ViT-Small,97.31,99.69,0.958,"img=224, ep=5, lr=0.001, opt=adam, aug=False",3.7
ViT-Small,96.7,99.69,0.95,"img=224, ep=10, lr=0.001, opt=sgd, aug=True",7.5
ViT-Small,96.7,99.46,0.943,"img=224, ep=10, lr=0.001, opt=sgd, aug=False",7.4
ViT-Small,96.39,99.39,0.932,"img=224, ep=5, lr=0.0001, opt=adamw, aug=False",3.7
ViT-Small,96.24,99.54,0.934,"img=224, ep=5, lr=0.0001, opt=adamw, aug=True",3.8
ViT-Small,95.78,99.62,0.925,"img=224, ep=5, lr=0.0001, opt=adam, aug=True",3.7
ViT-Small,95.47,99.39,0.922,"img=224, ep=5, lr=0.0001, opt=adam, aug=False",3.7
ViT-Small,93.24,98.85,0.869,"img=224, ep=5, lr=0.001, opt=sgd, aug=True",3.7
ViT-Small,93.01,99.23,0.865,"img=224, ep=5, lr=0.001, opt=sgd, aug=False",3.7
ViT-Small,58.29,77.73,0.323,"img=224, ep=10, lr=0.0001, opt=sgd, aug=False",7.3
ViT-Small,52.15,74.12,0.248,"img=224, ep=10, lr=0.0001, opt=sgd, aug=True",7.4
ViT-Small,38.86,57.99,0.125,"img=224, ep=5, lr=0.0001, opt=sgd, aug=False",3.7
ViT-Small,35.02,55.22,0.095,"img=224, ep=5, lr=0.0001, opt=sgd, aug=True",3.8
