run_key,model,img_size,epochs,lr,optimizer,augment,test_acc_%,top5_acc_%,macro_f1,weighted_f1,macro_precision,macro_recall,train_min
efficientnet_b0_img128_ep10_lr0.0001_adamw_augFalse,efficientnet_b0,128,10,0.0001,adamw,False,84.33,96.47,0.76,0.826,0.845,0.751,2.1
resnet18_img128_ep5_lr0.001_sgd_augFalse,resnet18,128,5,0.001,sgd,False,83.72,95.93,0.744,0.824,0.796,0.736,0.7
efficientnet_b0_img224_ep5_lr0.0001_adam_augTrue,efficientnet_b0,224,5,0.0001,adam,True,83.56,96.77,0.742,0.806,0.841,0.72,2.3
resnet18_img128_ep5_lr0.0001_adam_augFalse,resnet18,128,5,0.0001,adam,False,83.56,95.62,0.735,0.818,0.827,0.728,0.7
resnet18_img128_ep5_lr0.0001_adamw_augFalse,resnet18,128,5,0.0001,adamw,False,83.33,95.7,0.725,0.81,0.798,0.723,0.7
efficientnet_b0_img128_ep10_lr0.0001_adam_augFalse,efficientnet_b0,128,10,0.0001,adam,False,83.33,95.93,0.745,0.816,0.83,0.735,2.1
resnet18_img224_ep5_lr0.0001_adamw_augTrue,resnet18,224,5,0.0001,adamw,True,82.33,95.7,0.694,0.79,0.766,0.691,1.4
resnet18_img128_ep5_lr0.001_sgd_augTrue,resnet18,128,5,0.001,sgd,True,82.18,94.93,0.705,0.801,0.745,0.712,0.7
efficientnet_b0_img224_ep5_lr0.0001_adamw_augTrue,efficientnet_b0,224,5,0.0001,adamw,True,81.87,96.24,0.727,0.789,0.844,0.699,2.3
resnet18_img224_ep5_lr0.0001_adam_augTrue,resnet18,224,5,0.0001,adam,True,81.8,96.08,0.684,0.786,0.779,0.678,1.4
efficientnet_b0_img224_ep10_lr0.001_sgd_augFalse,efficientnet_b0,224,10,0.001,sgd,False,81.34,95.55,0.672,0.781,0.761,0.672,4.3
resnet18_img224_ep5_lr0.001_sgd_augTrue,resnet18,224,5,0.001,sgd,True,81.26,96.01,0.656,0.779,0.729,0.665,1.4
efficientnet_b0_img128_ep10_lr0.0001_adamw_augTrue,efficientnet_b0,128,10,0.0001,adamw,True,80.18,94.78,0.685,0.771,0.777,0.677,2.1
efficientnet_b0_img128_ep10_lr0.0001_adam_augTrue,efficientnet_b0,128,10,0.0001,adam,True,79.19,94.55,0.672,0.76,0.778,0.666,2.2
resnet18_img128_ep5_lr0.0001_adamw_augTrue,resnet18,128,5,0.0001,adamw,True,78.88,92.86,0.654,0.759,0.726,0.652,0.7
resnet18_img128_ep5_lr0.0001_adam_augTrue,resnet18,128,5,0.0001,adam,True,78.65,93.32,0.647,0.756,0.75,0.649,0.7
efficientnet_b0_img224_ep10_lr0.001_sgd_augTrue,efficientnet_b0,224,10,0.001,sgd,True,78.42,94.01,0.617,0.739,0.706,0.62,4.5
efficientnet_b0_img128_ep10_lr0.001_sgd_augFalse,efficientnet_b0,128,10,0.001,sgd,False,75.27,91.32,0.601,0.714,0.703,0.598,2.1
efficientnet_b0_img128_ep5_lr0.0001_adamw_augFalse,efficientnet_b0,128,5,0.0001,adamw,False,71.97,90.71,0.582,0.674,0.713,0.56,1.1
efficientnet_b0_img128_ep5_lr0.0001_adam_augFalse,efficientnet_b0,128,5,0.0001,adam,False,71.58,90.25,0.562,0.665,0.703,0.547,1.0
efficientnet_b0_img224_ep5_lr0.001_sgd_augFalse,efficientnet_b0,224,5,0.001,sgd,False,71.51,88.25,0.524,0.656,0.65,0.516,2.2
efficientnet_b0_img128_ep10_lr0.001_sgd_augTrue,efficientnet_b0,128,10,0.001,sgd,True,71.04,89.4,0.528,0.66,0.651,0.531,2.1
efficientnet_b0_img224_ep5_lr0.001_sgd_augTrue,efficientnet_b0,224,5,0.001,sgd,True,67.9,87.4,0.498,0.621,0.65,0.473,2.3
svm_img64_C10_augFalse,svm,64,N/A,N/A,rbf,False,67.36,84.18,0.531,0.653,0.633,0.509,3.8
efficientnet_b0_img128_ep5_lr0.0001_adamw_augTrue,efficientnet_b0,128,5,0.0001,adamw,True,67.13,88.17,0.52,0.619,0.71,0.487,1.1
